Country,Name,Contact,ENGLISH,Website
Canada,"Canadian Association for
 Suicide Prevention","IF EMERGENCY/ NEED IMMEDIATE ASSISTANCE CALL 911
Call or text 988 (after dialing press 1 for veterans)
Talk Suicide Canada: 1–833–456–4566
Crisis Text Line: text HOME (English)
 or PARLER (French) to 686868
Trans Lifeline: 1–877–330–6366
(For Indigenous Peoples) Hope for Wellness: 1-855-242-3310
The National Farmer Crisis Line: 1-866-FARMS01
PEI Mental Health and Addictions Crisis Line: 833-553-6983
Provincial Mental Health and Addictions Crisis Line: 902-429-8167
Crisis or Emotional Support Call: 604-852-9099 in Abbotsford
 and Mission or 1-888-852-9099 toll-free throughout British Columbia",,https://suicideprevention.ca/resources/
Mexico,Find a Helpline,"EN CASO DE EMERGENCIA/NECESITA ASISTENCIA INMEDIATA LLAME 911
Línea de la Vida: 800-911-2000
Sistema Nacional de Apoyo, Consejo Psicológico e Intervención
 en Crisis por Teléfono (SAPTEL): 55-5259-8121
Consejo Ciudadano Para La Seguridad Y Justicia
 de Ciudad de México: 55 5533-5533
Aquí Estoy Chat: https://aquiestoy.chat/","IN CASE OF EMERGENCY/NEED FOR IMMEDIATE ASSISTANCE CALL 911
Lifeline: 800-911-2000
National System of Support, Psychological Counseling, and 
Crisis Intervention by Telephone (SAPTEL): 55-5259-8121
Citizen Council for Security and Justice
of Mexico City: 55 5533-5533
Here I Am Chat: https://aquiestoy.chat/",https://findahelpline.com/countries/mx/topics/suicidal-thoughts
Brazil,,"EM CASO DE EMERGÊNCIA/NECESSIDADE DE ASSISTÊNCIA IMEDIATA LIGUE 192
CVV - Centro de Valorização da Vida: 188
 ou converse aqui https://cvv.org.br/","IN CASE OF EMERGENCY/NEED FOR IMMEDIATE ASSISTANCE CALL 192
CVV - Life Valorization Center: 188
 or chat here https://cvv.org.br/",
Argentina,,"Aquí Estoy Chat: https://aquiestoy.chat/
S.O.S Un Amigo Anónimo: 5263-0583 9:00 AM- 3:00 PM","Here I Am Chat: https://aquiestoy.chat/
S.O.S An Anonymous Friend: 5263-0583 9:00 AM - 3:00 PM",
United Kingdom,Find a Helpline,"IF EMERGENCY/ NEED IMMEDIATE ASSISTANCE CALL 999
Shout: Text ""SHOUT"" to 85258
Premier Lifeline: 0300-111-0101 5:00 AM- 7:59 PM
SOS Silence of Suicide: 08081151505
National Suicide Prevention Helpline UK: 0800-587-0800
Combat Stress Helplne: Text 07537 173683 or Call 0800-138-1619
Childline: 0800 1111 or 
chat online https://www.childline.org.uk/get-support/1-2-1-counsellor-chat/
No Panic Youth Helpline: 0300-772-9844 6:00 AM- 6:00 PM
LGBT Foundation Helpline: 0345-330-3030 6:00 AM- 1:30 PM
Samaritans Helpline: 116 123
Samaritans - Welsh Language Line: 0808-164-0123
Runaway Helpline: Call or text 116 000 5:00 AM- 7:00 PM
Muslim Youth Helpline: 0808-808-2008",,https://findahelpline.com/countries/gb?topics=Suicidal+thoughts&topics=Self-harm&topics=Depression
France,Find a Helpline,"EN CAS D'URGENCE/BESOIN D'ASSISTANCE IMMÉDIATE, APPELEZ 112
Numéro national de prévention du suicide: 3114
La Fédération SOS Suicide Phénix France: 01-40-44-46-45
Ovure 8:00-18:00
Association France Dépression - Ecoute patients: 
07-84-96-88-28 ovure 11:00-15:00
Service d'ecoute nocturne pour les etudiants: 01-88-32-12-32
ou discutez ici https://www.nightline.fr/
SOS Help - emotional support in English in France:
01-46-21-46-46 ovure 10:00-18:00
SOS Homophobie, LGBTIphobias Helpline: 01-48-06-42-41
Phare Enfants-Parents: 01-43-46-00
Fil Santé Jeunes: 0800-235-236 ovure 4:00-18:00
Suicide Écoute: 01-45-39-40-00
Agri'écoute: 09-69-39-29-19","IN CASE OF EMERGENCY/NEED IMMEDIATE ASSISTANCE, CALL 112
National suicide prevention number: 3114
SOS Suicide Phénix France Federation: 01-40-44-46-45
Opens 8:00-18:00
Association France Dépression - Patient support:
07-84-96-88-28 Opens 11:00-15:00
Nighttime helpline for students: 01-88-32-12-32
or chat here https://www.nightline.fr/
SOS Help - emotional support in English in France:
01-46-21-46-46 Opens 10:00-18:00
SOS Homophobia, LGBTIphobias Helpline: 01-48-06-42-41
Children-Parents Lighthouse: 01-43-46-00
Youth Health Line: 0800-235-236, 4:00 a.m. to 6:00 p.m.
Suicide Helpline: 01-45-39-40-00
Agri-listening: 09-69-39-29-19",https://findahelpline.com/countries/fr?topics=Depression&topics=Suicidal+thoughts&topics=Self-harm
Germany,Find a Helpline,"IM NOTFALL/WENN SIE SOFORT HILFE BENÖTIGEN, RUFEN SIE AN 112
TelefonSeelsorge: 0800 111 0 111 oder chatten Sie hier
 https://www.telefonseelsorge.de/
krisenchat: +49 15735998143 oder chatten Sie
 hier https://krisenchat.de
Muslimisches SeelsorgeTelefon: 030 443 509 821","IN AN EMERGENCY/IF YOU NEED IMMEDIATE HELP, CALL 112
Telephone Counseling: 0800 111 0 111 or chat here
https://www.telefonseelsorge.de/
Crisis Chat: +49 15735998143 or chat here https://krisenchat.de
Muslim Counseling Telephone: 030 443 509 821",https://findahelpline.com/countries/de?topics=Suicidal+thoughts&topics=Self-harm&topics=Depression
Italy,Find a Helpline,"IN CASO DI EMERGENZA/SE HAI BISOGNO DI AIUTO IMMEDIATO, CHIAMA 112
Telefono Azzurro: 19696 o chatta qui https://azzurro.it/
Telefono Amico Italia: 02-23-27-23-27 4:00 AM- 6:59 PM
Telefono Rosa: 06-37-51-82-82
Samaritans Onlus: 06-77-20-89-77 8:00 AM-5:00 PM","IN CASE OF EMERGENCY/IF YOU NEED IMMEDIATE HELP, CALL 112
Telefono Azzurro: 19696 or chat here https://azzurro.it/
Telefono Amico Italia: 02-23-27-23-27 4:00 AM- 6:59 PM
Telefono Rosa: 06-37-51-82-82
Samaritans Onlus: 06-77-20-89-77 8:00 AM-5:00 PM",https://findahelpline.com/countries/it?topics=Suicidal+thoughts&topics=Self-harm&topics=Depression
Spain,Find a Helpline,"EN CASO DE EMERGENCIA/SI NECESITA AYUDA INMEDIATA, LLAME 112
Samaritans in Spain: 900-525-100 5:00 AM- 6:59 PM
Fundación ANAR de Ayuda A Niños/as y Adolescentes en Riesgo:
900-202-010 o chatear aquí https://www.anar.org/
Aquí Estoy Chat: https://aquiestoy.chat/
Psicólogos Sin Fronteras España: 658-712-646","IN CASE OF EMERGENCY/IF YOU NEED IMMEDIATE HELP, CALL 112
Samaritans in Spain: 900-525-100 5:00 AM - 6:59 PM
ANAR Foundation for Helping Children and Adolescents at Risk:
900-202-010 or chat here https://www.anar.org/
Here I Am Chat: https://aquiestoy.chat/
Psychologists Without Borders Spain: 658-712-646",https://findahelpline.com/countries/es?topics=Suicidal+thoughts&topics=Self-harm&topics=Depression
China,Find a Helpline,"紧急情况下/如需立即帮助，请致电 119
Lifeline: 400-821-1215 在这里聊天 https://lifelinechina.org/
希望24热线: 400-161-9995
沈阳市心理援助24小时热线: 024-23813000
昆明市24小时心理热线: 0871-65011111
红枫妇女热线: 010-68333388
全国咨询热线: 13722875022
汉中市24小时心理援助热线 : 4008096341
“新老师”心理咨询热线 : 0373-3022889","In case of emergency/immediate help, please call 119
Lifeline: 400-821-1215 Chat here https://lifelinechina.org/
Hope 24 Hotline: 400-161-9995
Shenyang Psychological Assistance 24-hour Hotline: 024-23813000
Kunming 24-hour Psychological Hotline: 0871-65011111
Red Maple Women's Hotline: 010-68333388
National Consultation Hotline: 13722875022
Hanzhong 24-hour Psychological Assistance Hotline: 4008096341
""New Teacher"" Psychological Consultation Hotline: 0373-3022889",https://findahelpline.com/countries/cn?topics=Suicidal+thoughts&topics=Self-harm&topics=Depression
