Area/ State,Name,Contact,Website
USA,National Suicicide Hotline,"Call/ text 988 (Veterians press 1, Spanish press 2, LGBTA+ press 3)
 or Text 741741
The Trevor Project (LGBTQ+) : Call 1-866-488-7386
Suicide Crisis Spanish Line: 1-888-628-9454
or dial 988 then press 2
Suicide Crisis Deaf Line: 1-800-799-4889
SAMHSA National Help Line: 1-800-662-HELP (4357)
NAMI Helpline (people living with mental illness): 
1-800-844-0381 or text “NAMI” to 741741
YouthLine (talk teen to teen): Call 877-968-8491
or text teen2teen to 839863
Trans Lifeline Hotline: Call 1-877-565-8860
988 Lifeline Chat: https://chat.988lifeline.org/
Crisis Textline: https://www.crisistextline.org/",https://www.thetrevorproject.org/resources/
Connecticut,CT Suicide Prevention,"Call 211
The Connecticut Mental Health Association
Call: 800-842-1501 or 860-529-1970",https://www.preventsuicidect.org/ 
Alabama,Alabama Crisis Center,"The Crisis Center (Central Alabama)
Main Line: (205) 323-7777
Rape Response/SANE: (205) 323-7273
Youth Talk Line: (205) 328-5465
Recovery Resource Center: (205) 458-3377
Senior Talk Line: (205) 328-8255
Crisis Services of North Alabama
(256) 716-1000 or 1-800-691-8426
Lifeline Counseling Services (Mobile)
(251) 602-0909",https://www.crisiscenterbham.org/
Alaska,Carline Alaska,"Careline Alaska: Call 877-266-4357 
or text 4help to 839863
ANTHC Behavioral Health Wellness Clinic:
Call (907) 729-2492 Monday-Friday from 
8:30 a.m.-5 p.m","https://carelinealaska.com/
https://www.anthc.org/departments/behavioral-health-wellness-clinic/welcome/#"
Arizona,EMPACT Survivors of Suicide,"call EMPACT at:  
(480) 784-1500 or 1-866-205-5229
call or text Teen Lifeline at: 
(602) 248-TEEN (8336) or 1-800-248-TEEN ",https://empactsos.org/
Arkansas,Arkansas Department of Health Suicide Prevention Program,Call 501-671-1612,https://healthy.arkansas.gov/wp-content/uploads/Suicide_Prevention_Helpful_Sites.pdf
California,California Mental Health Resources,"Crisis line by county:
Alameda         (800) 309-2131
Alpine         (530) 694-1816 or after hours call (800) 486-2163
Amador         (209) 223-6412 or (888) 310-6555
Berkeley City         (510) 981-5244 or after hours call (510) 981-5254
Butte         (530) 891-2810 or (800) 334-6622
Calaveras         (209) 754-3239 or (800) 499-3030
Colusa         (530) 458-0520 or (888) 793-6580
Contra Costa         (888) 678-7277
Del Norte         (707) 464-7224 or (888) 446-4408
El Dorado         (800) 929-1955 or (530) 622-3345 for 
Placerville or (530) 544-2219 for South Lake Tahoe
Fresno         (800) 654-3937
Glenn         (800) 507-3530
Humboldt         (707) 445-7715 or (888) 849-5728
Imperial         (760) 339-4504 or (800) 817-5292
Inyo         (760) 873-6533 or (800) 841-5011
Kern         (800) 991-5272
Kings         (559) 582-4484 or (800) 655-2553
Lake         (800) 900-2075
Lassen        (888) 530-8688
Los Angeles         (800) 854-7771
Madera         (559) 673-3508 or (559) 662-0522 or (888) 275-9779
Marin         (415) 499-6666
Mariposa         (209) 966-7000
Mendocino         (800) 555-5906 or (707) 472-2304 for Ukiah
Merced         (209) 381-6800 or (888) 334-0163
Modoc         (800) 699-4880 or (530) 233-6312 or (800) 762-3003
Mono         (707) 924-1740
Monterey         (831) 755-4111 or (877) 663-5433
Napa         (707) 253-4711
Nevada         (530) 265-5811
Orange         (877) 7CRISIS or (877) 727-4747
Placer        
Adult Crisis & Intake: (888) 886-5401 or (916) 787-8860
Child & Family Crisis: (866) 293-1940 or (916) 872-6549

Plumas         (530) 283-6307 or (800) 757-7898
Riverside         (951) 686-HELP (4357)
Sacramento         (888) 881-4881
San Benito         (831) 636-4020
San Bernardino        
(888) 743-1478
909-458-9628 (West Valley region)
909-421-9233 (East Valley region)
760-956-2345 (High Desert region)
760-365-6558 (Morongo Basin region)

San Diego         (800) 479-3339 or (888) 724-7240
San Francisco         (415) 781-0500
San Joaquin         (209) 468-8686
San Luis Obispo         (800) 838-1381
San Mateo         (650) 579-0350 or (800) 273-8255
Santa Barbara         (888) 868-1649
Santa Clara         (855) 278-4204
Santa Cruz         (800) 952-2335
Shasta         (530) 225-5252 or (888) 385-5201
Sierra         (877) 435-7137
Siskiyou         (800) 842-8979 or (800) 452-3669
Solano         (707) 428-1131
Sonoma         (800) 746-8181 or (855) 587-6373
Stanislaus         (209) 558-4600 or (888) 376-6246
Sutter/Yuba         (530) 673-8255 or (888) 923-3800
Tehama         (530) 527-5637
Tri-City         (866) 623-9500 or (909) 623-6131
Trinity         (530) 623-5708 or (530) 623-1362 or (888) 624-5820
Tulare         (800) 320-1616
Tuolumne         (209) 533-7000
Ventura         (866) 998-2243
Yolo         (888) 965-6647",https://focus.senate.ca.gov/mentalhealth/suicide
Colorado,Colorado Crisis Services,"Call 1-844-493-TALK (8255) or text ""TALK"" to 38255
Ayuda en Español: 1-888-628-9454",https://coloradocrisisservices.org/
Delaware,Crisis Services Delaware,"Call or text 211
Text your zip code to 898-211
24/7 Youth Crisis Support: 1-800-969-HELP(4357)",https://delaware211.org/get-help/crisis-services/
Florida,988 Flordia Lifeline,Call or text 988,https://988lifeline.org/
Georgia,NAMI Georgia,Call: (800) 273-TALK or (800) SUICIDE,https://namiga.org/crisis-info/
Hawaii,Hawaii Cares,Call or text 988,https://hicares.hawaii.gov/
Idaho,Idaho Crisis and Suicide Hotline,Call or text 988,https://idahocrisis.org/
Illinois,Illinois Department of Human Services,Call or text 988,https://www.dhs.state.il.us/page.aspx?item=145089
Indiana,Indiana Suicide Prevention,Call or text 988,https://www.in.gov/issp/
Iowa,NAMI Iowa,"Your Life Iowa: 855-581-8111
Iowa Crisis Chat: 1-855-325-4296
available from 9:00am to 2:00am central time
https://www.iowacrisischat.org/ chat open 24/7
NAMI: Text NAMI to 741-741",https://namiiowa.org/crisis-info/
Kansas,Kansas Department of Education Sucide Awareness,"Local Crisis Line: 785-841-2345
Family Mobile Crisis Helpline (Kansas Department for Children and Families)
CALL: 833-441-2240
Download the ""Kansas A Friend AsKS"" App for free on
the Apple App Store and Google Play
Community Crisis Center (CCC) of Sedgwick County:
Call 988 or (316) 660-7500 or Text CONNECT to 741741",https://www.ksde.gov/Agency/Division-of-Learning-Services/Student-Staff-Training/Prevention-and-Responsive-Culture/Suicide-Awareness-and-Prevention
Kentucky,Kentucky Suicide Prevention,Call or text 988,https://www.kentuckysuicideprevention.org/
Louisiana,"Louisiana State Board of Examiners of
Phychologists Crisis Prevention Resources",Call or text 988,https://lsbep.org/crisis-prevention-resources/
Maine,,"Maine Crisis Line: 1-888-568-1112 or 988
non emergency resources:
Maine 211: Call 211, text your zip code to 211,
 or search 211 Maine online.
NAMI Teen and Young Adult HelpLine: Text Friend to 62640, 
call 1-800-950-6264, chat, or email helpline@nami.org. 
Available Monday-Friday, 10 A.M. -- 10 P.M. ET.
Maine's Peer Support Line: Call 1-866-771-9276. Available 24/7.",
Maryland,Maryland Department of Health Suicide Prevention,"Call or text 988
Maryland Youth Crisis Hotline: 1-800-422-0009",https://health.maryland.gov/bha/suicideprevention/Pages/home.aspx
Massachusetts,,"Call or text 988
National Alliance on Mental Illness (NAMI)
of Massachusetts: (800) 370-9085
The MA Behavioral Health Helpline (BHHL): Call or text 833-773-2445
Chat 24/7 https://www.masshelpline.com/",
Michigan,Michigan Health & Human Services,"Crisis line by major county:
Wayne: (800) 241-4949
Oakland: 800-231-1127, offers chat and text 24/7
Macomb: (586) 307-9100
Kent: Adult services (616) 336-3909 youth services (616) 336-3909
Genesee: Call (810) 257-3740 or (877) 346-3648 or Text FLINT to 741741
ALL OTHER COUNTIES CAN BE FOUND HERE: https://www.michigan.gov/mdhhs/safety-injury-prev/injuryprevention/programs/suicide-prevention-a/suicide-prevention/coalitions-and-crisis-lines",https://www.michigan.gov/mdhhs/safety-injury-prev/injuryprevention/programs/suicide-prevention-a/suicide-prevention/coalitions-and-crisis-lines
Minnesota,Minnesota Department of Human Services,"Call or text 988
Crisis Text Line: Text HOME to 741741 or text AYUDA for help in Spanish
Minnesota Farm & Rural Helpline: Call 833-600-2670
Crisis Line by Major county:
Hennepin: 612-596-1223
Ramsey: 651-266-7900 (adult), 651-266-7878 (child)
Dakota: 952-891-7171
ALL OTHER COUNTIES CAN BE FOUND HERE: https://edocs.dhs.state.mn.us/lfserver/Public/DHS-8459-ENG",https://edocs.dhs.state.mn.us/lfserver/Public/DHS-8459-ENG
Mississippi,American Foundation for Suicide Prevention,Call or text 988,https://afsp.org/im-having-thoughts-of-suicide/
Missouri,Missouri Preveniton Network,"Call or text 988
Crisis Text Line: text MOSAFE to 741-741",https://moasklistenrefer.org/
Montana,Montana Suicide Prevention,Call or text 988 or text MT to 741741,https://dphhs.mt.gov/suicideprevention/immediatehelp
Nebraska,Nebraska Statewide Suicide Prevention,"Call or text 988
NEBRASKA FAMILY HELPLINE: 1-888-866-8660
SAFE HARBOR WARM LINE: 402-715-4226
NAMI NEBRASKA: 402-345-8101
THE KIM FOUNDATION: 402-891-6911
LASTING HOPE RECOVERY CENTER: 402-717-4673 (HOPE)
RESOURCES BY REGION CAN BE FOUND HERE: https://sprc.org/wp-content/uploads/2022/11/Nebraska-Statewide-Suicide-Prevention-Plan-2022-2025.pdf",https://sprc.org/wp-content/uploads/2022/11/Nebraska-Statewide-Suicide-Prevention-Plan-2022-2025.pdf
Nevada,"Nevada Division of Public and Behavioral Health
 (DPBH) Office of Suicide Prevention","Children's Crisis Response Team: Southern NV--702-486-7865; 
Monday - Sunday, 24 hours
Northern NV--775-688-4970; Monday - Friday, 8 AM to 8 PM; 
Saturday - Sunday, 8 AM - 6 PM
Rural NV--702-486-7865; Monday - Sunday, 9 AM - 6 PM
Crisis Support Services of Nevada: 775-784-8090",https://suicideprevention.nv.gov/SP/Crisis_Hot_Lines/
New Hampshire,New Hampshire Suicide Prevention Council,"NH Rapid Response Access Point: 833-710-6477
ServiceLink: 1-866-634-9412
NH Doorways/211: Call 211",https://preventsuicidenh.org/resources-for/everyone/
New Jersey,Prevent Suicide New Jersey,"Text NJ to 741741
NJ Hopeline: 1-855-654-6735
2nd Floor: Youth Helpline of NJ: 1-888-222-2228
Children’s Mobile Response and Stabilization Services: 1-877-652-7624
Children’s System of Care (CSOC): 1-877-652-7624",https://www.preventsuicidenj.org/suicide-prevention-resources/
